sample_number,sample_code,plant_part,harvest_year,nitrogen_ppm,phosphorus_ppm,potassium_ppm,irrigation_levels,crop_rotation,field_or_greenhouse,species,harvest_year_desc,irrigation_desc,crop_rotation_desc,environment,total_fat_g_100_g_dw,crude_protein_g_100_g_dw,ash_g_100_g_dw,fiber_g_100_g_dw,carbohydrates_g_100_g_dw,energy_kcal_100_g_dw,oxalic_acid_mg_100_g_dw,quinic_acid_mg_100_g_dw,malic_acid_mg_100_g_dw,shikinic_acid_mg_100_g_dw,succinic_acid_mg_100_g_dw,citric_acid_mg_100_g_dw,total_acids_mg_100_g_dw,c6:0,c8:0,c10:0,c11:0,c12:0,c13:0,c14:0,c14:1,c15:0,c15:1,c16:0,c16:1,c17:0,c17:1,c18:0,c18:1n9c,c18:2n6c,c18:3n6,c18:3n3,c20:0,c20:2,c21:0,c22:0,c20:3n3,c20:5n3,c22:2,c23:0,c24:0,sfa,mufa,pufa,α-tocopherol_mg_100_g_dw,β-tocopherol_mg_100_g_dw,γ-tocopherol_mg_100_g_dw,total_tocopherols_mg_100_g_dw,fructose_g_100_g_dw,glucose_g_100_g_dw,saccharose_g_100_g_dw,trehalose_g_100_g_dw,raffinose_g_100_g_dw,total_free_sugars_g_100_g_dw,isocitric_acid_mg_g_of_extract,citric_acid_mg_g_of_extract,hydroxytyrosol_hexoside_mg_g_of_extract,cis-o-caffeoylqunic_acid_mg_g_of_extract,3-o-p-coumaroylquinic_acid_mg_g_of_extract,oleraceic_c_mg_g_of_extract,trans-o-caffeoylqunic_acid_mg_g_of_extract,4-o-p-coumaroylquinic_acid_mg_g_of_extract,giag_mg_g_of_extract,"apigenin-6,8-dihexoside_mg_g_of_extract",cis_5-o-caffeoylquinic_acid_mg_g_of_extract,trans_5-o-caffeoylquinic_acid_mg_g_of_extract,cis-5-o-p-coumaroylquinic_acid_mg_g_of_extract,trans-5-o-p-coumaroylquinic_acid_mg_g_of_extract,5-o-feruloylquinic_acid_mg_g_of_extract,chicoric_acid_mg_g_of_extract,oleracein_a_mg_g_of_extract,quercetin-o-deoxyhexosylhexoside_mg_g_of_extract,quercetin-o-deoxyhexosylhexoside_mg_g_of_extract_.1,oleracein_c_mg_g_of_extract,luteolin-o-deoxyhexosylhexoside_mg_g_of_extract,quercetin-o-hexurunoside_mg_g_of_extract,luteolin-o-hexurunoside_mg_g_of_extract,luteolin-o-deoxyhexosylhexoside_mg_g_of_extract_.1,quercetin-o-acetylhexoside_mg_g_of_extract,kaempherol-o-deoxyhexosyl-hexoside_mg_g_of_extract,isorhamnetin-o-deoxyhexosylhexoside_mg_g_of_extract,kaempherol-o-hexurunoside_mg_g_of_extract,apigenin-o-hexurunoside_mg_g_of_extract,isorhamnetin-o-hexurunoside_mg_g_of_extract,diosmetin-o-deoxyhexosylhexoside_mg_g_of_extract,kaempherol-o-acetylhexoside_mg_g_of_extract,isorhamnetin-o-acetylhexoside_mg_g_of_extract,total_phenolic_acids_mg_g_of_extract,total_flavonoids_mg_g_of_extract,total_phenolic_compounds_mg_g_of_extract,tbars_ug_ml,oxhlia_ug_ml,experimental_code
1,SHFC_0,leaves,0,0.0,0.0,0.0,0,0,1,Scolymus_hispanicus,2020,not applied,not applied,Greenhouse,2.819517696619924,11.86296831406935,12.11887302199978,37.18915875640328,36.00948221090767,291.243778882294,3.143053473109822,2.819323765678869,2.251750247613591,0.02635424245403599,,0.8743930344091305,9.114954926556507,,,,,,0.94,1.258,0.484,0.262,,19.253,1.767,0.54,,2.07,1.374,10.791,,59.67,,,,0.61,,,,0.365,0.615,25.651,2.513,71.83500000000001,0.1,,,0.1,4.073,6.437,1.818,1.188,,13.515,,,,,,,,,,,,,,,,,,,,,,1.146825705523461,,,,0.6509471138469646,,4.508200449828697,,0.4329514818475558,,,,,6.738924751046679,6.738924751046679,964.1064257028106,266.94,SH_L_NPK-Ctrl_20_G
1,SHFC_0,leaves,0,0.0,0.0,0.0,0,0,1,Scolymus_hispanicus,2020,not applied,not applied,Greenhouse,2.934912817782527,11.81646863117871,11.5247524752474,37.01589600668088,36.70797006911049,294.5437621745613,3.119183524235572,2.896877146596897,2.254131125958701,0.02634642611345984,,0.8408321400277858,9.13745036738407,,,,,,0.927,1.254,0.472,0.264,,19.462,1.746,0.532,,1.965,1.372,11.285,,59.122,,,,0.633,,,,0.348,0.618,25.739,2.482,71.779,0.09,,,0.09,4.345,6.672,1.789,1.23,,14.036,,,,,,,,,,,,,,,,,,,,,,1.149100177424859,,,,0.6440399101664053,,4.481933476724059,,0.4312005937424959,,,,,6.70627415805782,6.70627415805782,952.0440251572323,282.67,SH_L_NPK-Ctrl_20_G
1,SHFC_0,leaves,0,0.0,0.0,0.0,0,0,1,Scolymus_hispanicus,2020,not applied,not applied,Greenhouse,2.877215257201226,11.83971847262403,11.82181274862359,37.10252738154208,36.35872614000908,292.8937705284276,3.13,2.86,2.25,0.02635,,0.86,9.13,,,,,,0.9335,1.256,0.478,0.263,,19.3575,1.7565,0.536,,2.0175,1.373,11.038,,59.396,,,,0.6214999999999999,,,,0.3565,0.6165,25.695,2.4975,71.807,0.095,,,0.095,4.21,6.55,1.8,1.21,,13.78,,,,,,,,,,,,,,,,,,,,,,1.14796294147416,,,,0.6474935120066849,,4.495066963276378,,0.4320760377950258,,,,,6.722599454552249,6.722599454552249,907.3129251700678,251.49,SH_L_NPK-Ctrl_20_G
2,SHF1_0,leaves,0,100.0,100.0,100.0,0,0,1,Scolymus_hispanicus,2020,not applied,not applied,Greenhouse,2.915626560159705,10.65878243512974,11.79929439435551,37.15652241016977,37.46977420018527,293.0679104030369,2.28308367768595,2.360747245495059,2.383983943235493,0.0199743104650005,,0.8290352884955574,7.876890356240791,,0.508,,,,0.435,0.852,0.219,0.175,,24.359,2.25,1.252,,2.317,1.284,12.703,,51.906,,,,0.666,,,,0.385,0.689,31.463,2.644,65.893,0.06949,,,0.06949,4.223,5.887,1.95,1.317,,13.377,,,,,,,,,,,,,,,,,,,,,,1.12392054622831,,,,0.6655906285866503,,2.877612953974681,,0.5163376145812464,,,,,5.183461743370888,5.183461743370888,1086.872427983539,238.57,SH_L_NPK-N100-P100-K100_20_G
2,SHF1_0,leaves,0,100.0,100.0,100.0,0,0,1,Scolymus_hispanicus,2020,not applied,not applied,Greenhouse,2.765999408342407,10.56598733676296,11.21495327102957,36.84397327024179,38.60908671362327,295.2822374171102,2.27251194862093,2.387754530406449,2.356676115294155,0.02183655282286169,,0.8516669583298697,7.890513802986075,,0.483,,,,0.426,0.809,0.206,0.165,,24.321,2.239,1.25,,2.458,1.34,12.746,,51.814,,,,0.675,,,,0.394,0.674,31.49,2.61,65.9,0.0734824281,,,0.0734824281,4.062,5.951,1.939,1.364,,13.315,,,,,,,,,,,,,,,,,,,,,,1.132481904264594,,,,0.6745242919069144,,2.858007327738379,,0.5174082108676674,,,,,5.182421734777556,5.182421734777556,1137.888888888888,245.33,SH_L_NPK-N100-P100-K100_20_G
2,SHF1_0,leaves,0,100.0,100.0,100.0,0,0,1,Scolymus_hispanicus,2020,not applied,not applied,Greenhouse,2.840812984251056,10.61238488594635,11.50712383269254,37.00024784020578,38.03943045690427,294.1750739100736,2.28,2.37,2.37,0.020905,,0.84,7.88,,0.4955,,,,0.4305,0.8305,0.2125,0.17,,24.34,2.2445,1.251,,2.3875,1.312,12.7245,,51.86,,,,0.6705000000000001,,,,0.3895,0.6815,31.47650000000001,2.627,65.8965,0.07,,,0.07,4.14,5.92,1.94,1.34,,13.35,,,,,,,,,,,,,,,,,,,,,,1.128201225246452,,,,0.6700574602467824,,2.86781014085653,,0.5168729127244569,,,,,5.182941739074222,5.182941739074222,1132.13601532567,226.31,SH_L_NPK-N100-P100-K100_20_G
3,SHF2_0,leaves,0,200.0,100.0,100.0,0,0,1,Scolymus_hispanicus,2020,not applied,not applied,Greenhouse,2.268337378039713,10.44234592445328,9.858616736721538,39.38710221662719,38.04359774415828,293.133015510058,2.076533410081204,2.143921168405669,1.662220512046212,0.01701317092493563,,0.8015691483778662,6.701325681853448,,0.522,,,,1.268,2.558,0.622,0.149,,24.41,1.686,1.195,,3.944,2.025,10.4,,47.718,,,,1.364,,,,0.869,1.268,37.398,2.457,60.143,0.050613,,,0.050613,3.962,6.108,1.753,1.166,,12.989,,,,,,,,,,,,,,,,,,,,,,1.717840770897804,,,,0.917613901686726,,5.135108810220412,,0.5727060931022239,,,,,8.343269575907165,8.343269575907165,1245.78125,188.29,SH_L_NPK-N200-P100-K100_20_G
3,SHF2_0,leaves,0,200.0,100.0,100.0,0,0,1,Scolymus_hispanicus,2020,not applied,not applied,Greenhouse,2.358283286948761,11.01705453455853,9.853733641262792,41.00461047517395,35.76631806205596,290.3672609193447,2.085280501089325,2.163349583781858,1.667594545242039,0.01594142404436522,,0.8482988850969173,6.780533214077901,,0.523,,,,1.201,2.444,0.611,0.14,,24.678,1.661,1.134,,3.838,2.118,10.477,,47.793,,,,1.282,,,,0.825,1.274,37.199,2.412,60.388,0.0530938,,,0.0530938,3.831,6.431,1.784,1.204,,13.25,,,,,,,,,,,,,,,,,,,,,,1.706730555494591,,,,0.8941860913351938,,5.115650641279959,,0.5782357820205257,,,,,8.29480307013027,8.29480307013027,1204.932432432432,215.05,SH_L_NPK-N200-P100-K100_20_G
3,SHF2_0,leaves,0,200.0,100.0,100.0,0,0,1,Scolymus_hispanicus,2020,not applied,not applied,Greenhouse,2.313310332494237,10.72970022950591,9.856175188992164,40.19585634590057,36.90495790310712,291.7501382147013,2.08,2.15,1.66,0.016477,,0.82,6.74,,0.5225,,,,1.2345,2.501,0.6165,0.1445,,24.544,1.6735,1.1645,,3.891,2.0715,10.4385,,47.7555,,,,1.323,,,,0.847,1.271,37.2985,2.4345,60.2655,0.05,,,0.05,3.9,6.27,1.77,1.19,,13.12,,,,,,,,,,,,,,,,,,,,,,1.712285663196198,,,,0.9058999965109599,,5.125379725750186,,0.5754709375613748,,,,,8.319036323018718,8.319036323018718,1330.427756653992,192.97,SH_L_NPK-N200-P100-K100_20_G
4,SHF3_0,leaves,0,200.0,200.0,200.0,0,0,1,Scolymus_hispanicus,2020,not applied,not applied,Greenhouse,3.0152,11.09001385589865,11.47928994082828,40.85190562983777,33.56359057343531,287.4550289770114,2.940601547842402,2.847014414606233,1.869504108116326,0.0303780487804878,,0.9011612170180833,8.588736390498244,,0.6,,,,1.137,1.619,0.563,0.196,,23.565,1.745,1.277,,2.98,1.444,11.061,,49.672,,,,1.74,,,,0.868,1.534,35.32,2.504,62.17699999999999,0.0768774,,,0.0768774,4.778,6.025,2.174,0.901,,13.878,,,,,,,,,,,,,,,,,,,,,,0.7304265248388107,,,,0.618615287987224,,2.192310223688171,,0.4305251929374814,,,,,3.971877229451687,3.971877229451687,331.1590038314176,291.36,SH_L_NPK-N200-P200-K200_20_G
4,SHF3_0,leaves,0,200.0,200.0,200.0,0,0,1,Scolymus_hispanicus,2020,not applied,not applied,Greenhouse,2.0758,10.43796862667719,11.3840155945417,40.53868133611935,35.56353444266176,283.7655749495945,2.909059630196505,2.665252473958307,1.899971901366429,0.03119744248049768,,0.9056811079296183,8.41123695421208,,0.643,,,,1.158,1.633,0.604,0.208,,22.717,1.73,1.222,,3.153,1.355,11.193,,50.038,,,,1.806,,,,0.922,1.617,34.871,2.542,62.586,0.0804621,,,0.0804621,4.727,5.831,2.067,0.857,,13.482,,,,,,,,,,,,,,,,,,,,,,0.7434342171957659,,,,0.6264366201826705,,2.203508645510926,,0.4304076693019431,,,,,4.003787152191306,4.003787152191306,310.2458333333333,322.35,SH_L_NPK-N200-P200-K200_20_G
4,SHF3_0,leaves,0,200.0,200.0,200.0,0,0,1,Scolymus_hispanicus,2020,not applied,not applied,Greenhouse,2.5455,10.76399124128792,11.43165276768499,40.69529348297856,34.56356250804853,285.610301963303,2.92,2.76,1.88,0.030788,,0.903421,8.5,,0.6214999999999999,,,,1.1475,1.626,0.5834999999999999,0.202,,23.141,1.7375,1.2495,,3.0665,1.3995,11.127,,49.855,,,,1.773,,,,0.895,1.5755,35.0955,2.523,62.3815,0.08,,,0.08,4.75,5.93,2.12,0.88,,13.68,,,,,,,,,,,,,,,,,,,,,,0.7369303710172883,,,,0.6225259540849473,,2.197909434599548,,0.4304664311197123,,,,,3.987832190821496,3.987832190821496,322.6817558299039,283.39,SH_L_NPK-N200-P200-K200_20_G
5,SHF4_0,leaves,0,300.0,100.0,100.0,0,0,1,Scolymus_hispanicus,2020,not applied,not applied,Greenhouse,2.625187156878965,9.738453516090585,9.969207082371069,38.78305352557791,38.88409871908148,295.6830004037548,1.790635948905109,2.158076988508539,1.582375077718883,0.01886583941605839,,0.7515675227965553,6.301569253798241,,0.86,,,,1.359,1.893,0.736,0.24,,23.44,1.827,1.54,,3.063,1.42,10.829,,48.657,,,,1.524,,,,1.016,1.596,36.291,2.803,60.906,0.0211071,,,0.0211071,4.711,6.053,2.4,0.678,,13.842,,,,,,,,,,,,,,,,,,,,,,1.25640702834129,,,,0.7213898222088005,,2.90198389285541,,0.4958232729927088,,,,,5.37560401639821,5.37560401639821,706.6550925925926,1123.88,SH_L_NPK-N300-P100-K100_20_G
5,SHF4_0,leaves,0,300.0,100.0,100.0,0,0,1,Scolymus_hispanicus,2020,not applied,not applied,Greenhouse,2.601283495811522,9.845846487766376,10.10293556995754,38.84498319161548,38.60495125484908,294.9047088159965,1.810251216545012,2.241295465202544,1.645349889172747,0.01786087591240876,,0.7977937885280805,6.51259956123265,,0.815,,,,1.304,1.817,0.711,0.236,,23.145,1.716,1.622,,3.185,1.465,10.707,,49.204,,,,1.51,,,,1.005,1.56,35.963,2.663,61.376,0.0199681,,,0.0199681,4.721,6.312,2.427,0.647,,14.107,,,,,,,,,,,,,,,,,,,,,,1.240630141425799,,,,0.7198721496350633,,2.879303086233341,,0.4955767484435237,,,,,5.335382125737727,5.335382125737727,650.9878716744913,1134.35,SH_L_NPK-N300-P100-K100_20_G
5,SHF4_0,leaves,0,300.0,100.0,100.0,0,0,1,Scolymus_hispanicus,2020,not applied,not applied,Greenhouse,2.613235326345244,9.79215000192848,10.03607132616431,38.81401835859669,38.74452498696528,295.2938546098757,1.8,2.2,1.61,0.018363,,0.774681,6.41,,0.8374999999999999,,,,1.3315,1.855,0.7235,0.238,,23.2925,1.7715,1.581,,3.124,1.4425,10.768,,48.93049999999999,,,,1.517,,,,1.0105,1.578,36.12700000000001,2.733,61.14099999999999,0.0205376,,,0.0205376,4.72,6.18,2.41,0.66,,13.97,,,,,,,,,,,,,,,,,,,,,,1.248518584883545,,,,0.720630985921932,,2.890643489544376,,0.4957000107181163,,,,,5.355493071067968,5.355493071067968,719.549663299663,1029.01,SH_L_NPK-N300-P100-K100_20_G
6,SHF5_0,leaves,0,300.0,200.0,200.0,0,0,1,Scolymus_hispanicus,2020,not applied,not applied,Greenhouse,2.741445369269336,9.905950326045263,10.01972386587678,36.26791715513951,41.06496328366911,301.0924970725605,2.444142025089605,2.406273386882218,1.924418670381909,0.02626135005973716,,0.8206659195368922,7.621814786145459,,0.675,,,,1.167,1.716,0.619,0.159,,19.747,1.609,0.384,,2.274,1.181,11.778,,56.417,,,,0.839,,,,0.597,0.837,28.236,2.387,69.376,0.24,,,0.24,3.83,5.332,2.608,0.883,,12.653,,,,,,,,,,,,,,,,,,,,,,1.794039871158317,,,,0.8781617696082868,,4.940186409807509,,0.4635828982314072,,,,,8.075970948805521,8.075970948805521,693.554526748971,836.8,SH_L_NPK-N300-P200-K200_20_G
6,SHF5_0,leaves,0,300.0,200.0,200.0,0,0,1,Scolymus_hispanicus,2020,not applied,not applied,Greenhouse,2.714573494930824,9.723061184723306,9.849086576647753,36.27077398185621,41.4425047618419,301.6349732043507,2.443098491636798,2.377317300898032,1.966620116113856,0.02328504579848666,,0.8295259375919711,7.639900373194284,,0.649,,,,1.116,1.794,0.612,0.155,,19.97,1.604,0.392,,2.225,1.209,11.835,,56.166,,,,0.848,,,,0.63,0.794,28.418,2.371,69.21,0.25,,,0.25,3.888,5.399,2.451,0.899,,12.637,,,,,,,,,,,,,,,,,,,,,,1.773500394075402,,,,0.8758526533306547,,4.925282716537258,,0.4640948434626533,,,,,8.038730607405968,8.038730607405968,709.3253968253966,859.03,SH_L_NPK-N300-P200-K200_20_G
6,SHF5_0,leaves,0,300.0,200.0,200.0,0,0,1,Scolymus_hispanicus,2020,not applied,not applied,Greenhouse,2.72800943210008,9.814505755384285,9.934405221262269,36.26934556849785,41.25373402275551,301.3637351384556,2.44,2.39,1.95,0.024773,,0.825096,7.63,,0.662,,,,1.1415,1.755,0.6154999999999999,0.157,,19.8585,1.6065,0.388,,2.2495,1.195,11.8065,,56.2915,,,,0.8434999999999999,,,,0.6134999999999999,0.8155,28.327,2.379,69.293,0.245,,,0.245,3.86,5.37,2.53,0.89,,12.65,,,,,,,,,,,,,,,,,,,,,,1.783770132616859,,,,0.8770072114694707,,4.932734563172383,,0.4638388708470303,,,,,8.057350778105745,8.057350778105745,752.3910440613028,771.38,SH_L_NPK-N300-P200-K200_20_G
7,SHF6_0,leaves,0,300.0,300.0,300.0,0,0,1,Scolymus_hispanicus,2020,not applied,not applied,Greenhouse,2.32254271061318,10.2930801850424,11.14141020646564,40.04512298365668,36.1978439142221,286.95682675989,1.987007323889371,2.184659942379282,1.668866368646733,0.02210291991905175,,0.8082800905095647,6.670968161089294,,,,,,1.117,1.824,0.714,0.164,,20.522,1.485,0.445,,2.451,1.276,11.398,,55.772,,,,0.977,,,,0.781,1.072,29.189,2.363,68.446,0.0179748,,,0.0179748,3.567,5.504,2.964,1.147,,13.181,,,,,,,,,,,,,,,,,,,,,,2.861961216000999,,,,0.8267627946110145,,5.774813738418601,,0.5921748041716954,,,,,10.05571255320231,10.05571255320231,471.4026402640266,795.89,SH_L_NPK-N300-P300-K300_20_G
7,SHF6_0,leaves,0,300.0,300.0,300.0,0,0,1,Scolymus_hispanicus,2020,not applied,not applied,Greenhouse,2.172995095332343,10.42985541227042,10.89264648053456,39.19893306784375,37.30556994401893,288.896523418836,1.975235496771707,2.213034679295954,1.658529966158228,0.02243533776621374,,0.8292404207234941,6.698526455414556,,,,,,1.108,1.921,0.67,0.16,,20.358,1.489,0.451,,2.547,1.447,12.41,,54.165,,,,1.484,,,,0.734,1.056,29.659,2.319,68.02199999999999,0.0165648,,,0.0165648,3.637,5.451,2.646,1.443,,13.178,,,,,,,,,,,,,,,,,,,,,,2.837657456933382,,,,0.8393296194307195,,5.795409055457286,,0.5926792433829745,,,,,10.06507537520436,10.06507537520436,403.1481481481483,826.35,SH_L_NPK-N300-P300-K300_20_G
7,SHF6_0,leaves,0,300.0,300.0,300.0,0,0,1,Scolymus_hispanicus,2020,not applied,not applied,Greenhouse,2.247768902972761,10.36146779865641,11.0170283435001,39.62202802575021,36.75170692912052,287.926675089363,1.98,2.2,1.66,0.022269,,0.81876,6.68,,,,,,1.1125,1.8725,0.692,0.162,,20.44,1.487,0.448,,2.499,1.3615,11.904,,54.9685,,,,1.2305,,,,0.7575000000000001,1.064,29.424,2.341,68.234,0.02,,,0.02,3.6,5.48,2.81,1.3,,13.18,,,,,,,,,,,,,,,,,,,,,,2.849809336467191,,,,0.8330462070208671,,5.785111396937944,,0.592427023777335,,,,,10.06039396420334,10.06039396420334,444.1339869281051,730.4,SH_L_NPK-N300-P300-K300_20_G
8,SHIC_1,leaves,1,,,,3,0,0,Scolymus_hispanicus,2021,Rain-feed Irrigation,not applied,Field,2.684497923683224,17.69031466512702,18.90432098765412,42.5471691059896,18.17369731754603,252.7108674558204,5.553531035328755,4.284458197188126,,0.007003091265947008,,,9.84505117603449,,,,,,0.557,0.697,0.171,0.122,0.168,19.844,2.168,0.315,,1.909,1.518,12.419,,0.415,,,,58.289,,,0.498,0.333,0.575,82.641,4.025,13.332,0.022,,,0.022,5.554,10.533,11.586,,15.234,42.907,,,,,,,,,,,,,,,,,,,,,,1.25566090052348,,,,1.106424255782922,,3.029844154482661,,0.6751057644973438,,,,,6.067035075286407,6.067035075286407,501.745,183.6037574722459,SH_L_IR-Rain_21_F
8,SHIC_1,leaves,1,,,,3,0,0,Scolymus_hispanicus,2021,Rain-feed Irrigation,not applied,Field,2.726245096083541,17.7403546375682,18.71345029239837,42.76729740525314,18.05265256869674,253.242829500318,5.540631133464181,4.365388131228069,,0.007866339548577036,,,9.913944303019587,,,,,,0.525,0.668,0.183,0.124,0.161,19.187,2.298,0.301,,1.814,1.486,12.608,,0.403,,,,58.847,,,0.487,0.313,0.595,82.37400000000001,4.128,13.498,0.023,,,0.023,5.791,10.701,12.169,,14.585,43.247,,,,,,,,,,,,,,,,,,,,,,1.254105675154237,,,,1.106200556651934,,3.019761941761111,,0.683707839929589,,,,,6.063776013496871,6.063776013496871,500.456,194.5205479452055,SH_L_IR-Rain_21_F
8,SHIC_1,leaves,1,,,,3,0,0,Scolymus_hispanicus,2021,Rain-feed Irrigation,not applied,Field,2.705371509883383,17.71533465134761,18.80888564002625,42.65723325562136,18.11317494312139,252.9768484780692,5.55,4.32,,0.007435,,,9.88,,,,,,0.541,0.6825,0.177,0.123,0.1645,19.5155,2.233,0.308,,1.8615,1.502,12.5135,,0.409,,,,58.568,,,0.4925,0.323,0.585,82.50750000000001,4.0765,13.415,0.023,,,0.023,5.67,10.62,11.88,,14.91,43.08,,,,,,,,,,,,,,,,,,,,,,1.254883287838858,,,,1.106312406217428,,3.024803048121886,,0.6794068022134664,,,,,6.065405544391639,6.065405544391639,502.545,173.5604217356042,SH_L_IR-Rain_21_F
